dataset,created,modified
http://thedatahub.org/dataset/vivo-university-of-florida,2010-09-10T09:49:10.520641,2012-04-02T14:32:46.765805
http://thedatahub.org/dataset/john-goodwins-family-tree,2010-09-09T22:28:17.230137,2011-07-23T14:27:00.824594
http://thedatahub.org/dataset/nytimes-linked-open-data,2009-12-04T00:35:11.806655,2011-07-20T21:10:43.050214
http://thedatahub.org/dataset/farmbio-chembl,2010-09-02T16:36:47.409599,2012-08-14T04:28:22.114010
http://thedatahub.org/dataset/rkb-explorer-os,2010-08-23T13:46:26.040999,2012-07-04T21:19:26.932492
http://thedatahub.org/dataset/smartlink,2011-05-10T16:41:56.270341,2011-09-29T13:55:55.524587
http://thedatahub.org/dataset/linkedmdb,2009-10-27T19:01:59.761996,2011-07-20T21:24:28.009933
http://thedatahub.org/dataset/hellenic-fire-brigade,2011-07-12T17:35:49.942698,2012-11-05T17:18:30.255150
http://thedatahub.org/dataset/uniprotkb,2010-08-30T15:09:37.576063,2012-09-05T05:27:56.966196
http://thedatahub.org/dataset/scotland-statistical-geography,2011-03-04T09:49:31.018876,2011-09-06T15:31:22.958464
http://thedatahub.org/dataset/fanhubz,2010-09-01T11:04:01.920989,2011-07-20T22:35:30.257366
http://thedatahub.org/dataset/research-data-gov-uk,2010-09-19T21:11:00.809750,2012-07-13T09:41:16.502793
http://thedatahub.org/dataset/revyu,2010-09-09T16:17:38.831997,2011-07-20T20:51:17.513936
http://thedatahub.org/dataset/bio2rdf-pubchem,2010-09-01T08:25:28.468702,2011-08-10T13:34:10.590993
http://thedatahub.org/dataset/data-incubator-discogs,2010-07-28T23:14:19.950659,2011-10-20T10:41:05.559139
http://thedatahub.org/dataset/rkb-explorer-newcastle,2010-08-23T13:45:49.026265,2012-07-04T21:31:34.354899
http://thedatahub.org/dataset/my-family-lineage,2012-02-27T23:11:47.685009,2012-08-25T15:23:27.234144
http://thedatahub.org/dataset/schemapedia,2011-10-27T16:15:40.496133,2011-10-27T16:26:17.577173
http://thedatahub.org/dataset/business-data-gov-uk,2010-09-19T20:46:07.749841,2011-12-05T10:24:46.154980
http://thedatahub.org/dataset/austrian_ski_racers,2010-10-21T14:12:08.120746,2011-09-29T12:04:50.422649
http://thedatahub.org/dataset/yahoo_geoplanet,2011-07-15T13:46:18.924054,2011-10-20T10:43:25.037072
http://thedatahub.org/dataset/uriburner,2010-09-08T18:54:58.940104,2011-08-15T16:59:18.992075
